LC,Accession Number,"Author, Primary","Authors, Multiple",Barcode,Bibliographic Format,Branch,Collection/Status,Copy,Corporate Author,Cost,Date Touched,Description,Edition,General Material Designation,Home Branch,ISBN,ISBN-Normal,ISBN-Normal 10,LC Classification 1,LCCN,Place of Publication,Publication Dates,Publication Year,Publisher,Series,Status,"Subject Headings, LC",Title,"Titles, Alternate"
GB 658 .C43 2005,022015,"Chalufour, Ingrid","Chalufour, Ingrid;Worth, Karen",022015,Monograph,Learning Commons,Activity,,,,,129 p. : ill. ; 28 cm.,,text,Learning Commons,1929610548 (pbk.),9781929610549,1929610548,GB 658 .C43 2005,2004029765,"St. Paul, Minn.",c2005,2005,Redleaf Press,,Available,Water - Study and teaching (Early childhood);Water - Experiments,Exploring water with young children,
QC 981.3 .A38 1993,022465,Scholastic Inc,,022465,Monograph,Learning Commons,Activity,,"Scholastic Inc;Franklin Institute (Philadelphia, Pa.)",4,,32 p. : col. ill. ; 28 cm.,,text,Learning Commons,0590261355,9780590261357,0590261355,QC 981.3 .A38 1993,,"New York, N.Y.",c1993,1993,Scholastic,,Available,Weather - Study and teaching (Primary);Air - Study and teaching (Primary);Water - Study and teaching (Primary),"Air, sun, and water : how weather works","Air, sun, & water"
GB 1002.25 .W38 2009,021433,"Soukhome, Jennifer","Soukhome, Jennifer",021433,Monograph,Learning Commons,Act-nonc,,,,,"xvi, 175 p. : ill. ; 28 cm.",,text,Learning Commons,9781933531489,9781933531489,1933531487,GB 1002.25 .W38 2009,2009011292,"Arlington, Va.",c2009,2009,"NSTA Press, National Science Teachers Association",,Non-Circulating,Watersheds - Study and teaching (Secondary) - Activity programs;Watershed ecology - Study and teaching (Secondary) - Activity programs;Water quality - Study and teaching (Secondary) - Activity programs;Stream measurements - Study and teaching (Secondary) - Activity programs,Watershed investigations : 12 labs for high school science,
GB 1002.25 .W38 2009,020652,"Soukhome, Jennifer","Soukhome, Jennifer",020652,Monograph,Learning Commons,Activity,,,,,"xvi, 175 p. : ill. ; 28 cm.",,text,Learning Commons,9781933531489,9781933531489,1933531487,GB 1002.25 .W38 2009,2009011292,"Arlington, Va.",c2009,2009,"NSTA Press, National Science Teachers Association",,Available,Watersheds - Study and teaching (Secondary) - Activity programs;Watershed ecology - Study and teaching (Secondary) - Activity programs;Water quality - Study and teaching (Secondary) - Activity programs;Stream measurements - Study and teaching (Secondary) - Activity programs,Watershed investigations : 12 labs for high school science,
HD 1695 .K55 .V5 2010,020536,"Jensen, Judith","Jensen, Judith;Luxton, Susan",020536,Monograph,Learning Commons,General,,Educational Solutions (Organization);Oregon Watershed Enhancement Board;Walter S. Johnson Foundation,,,"1 videodisc (ca. 59 min.) : sd., col. with b&w sequences ; 4 3/4 in.",,videorecording,Learning Commons,,,,HD 1695 .K55 .V5 2010,,"Klamath Falls, Or.",c2010,2010,Educational Solutions,,Available,Water rights;Fishes - Habitat;Fisheries - California,Vision of the river : working together on the Klamath,
HD 1695 .K55 .V5 2010,020542,"Jensen, Judith","Jensen, Judith;Luxton, Susan",020542,Monograph,Learning Commons,Gen-nonc,,Educational Solutions (Organization);Oregon Watershed Enhancement Board;Walter S. Johnson Foundation,,,"1 videodisc (ca. 59 min.) : sd., col. with b&w sequences ; 4 3/4 in.",,videorecording,Learning Commons,,,,HD 1695 .K55 .V5 2010,,"Klamath Falls, Or.",c2010,2010,Educational Solutions,,Available,Water rights;Fishes - Habitat;Fisheries - California,Vision of the river : working together on the Klamath,
QC 920 .Z38 2009 ,020187,"Zdravic, Andrej","Zdravic, Andrej;Doherty, Paul",020187,DVD,Learning Commons,General,,"Exploratorium (San Francisco, Calif.)",,,"1 videodisc : sd., col. & b&w ; 4 3/4 in.",Combined edition,DVD/videorecording,Learning Commons,,,,QC 920 .Z38 2009,,"San Francisco, Calif.",c.2009,2009,Canyon Cinema,,Available,Forms of water;Hydrologic cycle;Glaciers;Geysers,Water cycle/water wave,
TD 224 H83 2001,021161,"Hundley, Norris","Hundley, Norris",021161,Monograph,Learning Commons,General,,,,,"xxiii, 799 p. : ill., maps ; 24 cm.",Rev. ed.,text,Learning Commons,0520224558 (cloth : alk. paper),9780520224551,0520224558,TD 224 H83 2001,00059002,Berkeley,c2001,2001,University of California Press,,Available,Water-supply - California - History;Watervoorziening;California - History,The great thirst : Californians and water -a history,
GE 155 .C2 S28 2009,022645,"Blatman, Ron","Blatman, Ron;Saunders, Miles;Redford, Robert",022645,DVD,Learning Commons,General,,"Ronald M. Blatman, Inc;KQED-TV (Television station : San Francisco, Calif.);KTEH-TV (Television station : San Jose, Calif.)",,2013-05-15 09:31:00.170,"2 videodiscs (ca. 240 min.) : sd., col. and b&w ; 4 3/4 in.",,videorecording,Learning Commons,,,,GE 155 .C2 S28 2009,,San Francisco,c2009,2009,"Ronald M. Blatman, Inc., and KQED/KTEH Public Television",,On Loan,"Save the Bay (Oakland, Calif.);Environmental protection - California - San Francisco Bay Area - Citizen participation;Environmental protection - California - San Francisco Bay Area - History;Environmentalism - California - San Francisco Bay Area;Water quality management - California - San Francisco Bay Area;Water quality management - California - San Francisco Bay Area - History;San Francisco Bay (Calif.) - Environmental conditions;San Francisco Bay (Calif.) - History",Saving the bay : the story of San Francisco Bay,
GE 155 .C2 S28 2009,022646,"Blatman, Ron","Blatman, Ron;Saunders, Miles;Redford, Robert",022646,DVD,Learning Commons,Gen-nonc,,"Ronald M. Blatman, Inc;KQED-TV (Television station : San Francisco, Calif.);KTEH-TV (Television station : San Jose, Calif.)",39.99000000000000199,2013-07-17 15:00:10.077,"2 videodiscs (ca. 240 min.) : sd., col. and b&w ; 4 3/4 in.",,videorecording,Learning Commons,,,,GE 155 .C2 S28 2009,,San Francisco,c2009,2009,"Ronald M. Blatman, Inc., and KQED/KTEH Public Television",,On Loan,"Save the Bay (Oakland, Calif.);Environmental protection - California - San Francisco Bay Area - Citizen participation;Environmental protection - California - San Francisco Bay Area - History;Environmentalism - California - San Francisco Bay Area;Water quality management - California - San Francisco Bay Area;Water quality management - California - San Francisco Bay Area - History;San Francisco Bay (Calif.) - Environmental conditions;San Francisco Bay (Calif.) - History",Saving the bay : the story of San Francisco Bay,
