LC,Accession Number,"Author, Primary","Authors, Multiple",Barcode,Bibliographic Format,Branch,Collection/Status,Copy,Corporate Author,Cost,Date Touched,Description,Edition,General Material Designation,Home Branch,ISBN,ISBN-Normal,ISBN-Normal 10,LC Classification 1,LCCN,Place of Publication,Publication Dates,Publication Year,Publisher,Series,Status,"Subject Headings, LC",Title,"Titles, Alternate"
QC 981.3 .C53 2006,21337,"Clarke, Catriona","Clarke, Catriona;Chen, Kuo Kang",21337,Monograph,Learning Commons,General,,,,,32 p. : col. ill. ; 22 cm.,,text,Learning Commons,9780794512538 (trade bdg.),9.78E+12,794512534,QC 981.3 .C53 2006,,"London : [Tulsa, Okla.",c2006,2006,Usborne ;;EDC],,Available,Weather - Juvenile literature;Meteorology - Juvenile literature;Weather;Meteorology,Weather,
QL 949 .L26 2002,21336,"Land, Michael F","Land, Michael F;Nilsson, Dan-Eric",21336,Monograph,Learning Commons,General,,,,,"xii, 221 p. : ill. ; 25 cm.",,text,Learning Commons,0198509685 (pbk.),9.78E+12,198509685,QL 949 .L26 2002,2001036500,New York,2002,2002,Oxford University Press,,Available,Eye;Vision,Animal eyes,
Q 181 .L872 2012,21335,"Lowery, Lawrence F","Lowery, Lawrence F",21335,Monograph,Learning Commons,Activity,,,,,"xxxv,  537 p. : ill. ; cm.",Rev. 2nd ed.,text,Learning Commons,9.78E+12,9.78E+12,1936959097,Q 181 .L872 2012,2012002282,"Arlington, Va.",2012,2012,NSTA Press,,Available,"Science - Study and teaching (Secondary) - Handbooks, manuals, etc;Science - Study and teaching (Elementary) - Handbooks, manuals, etc",The everyday science sourcebook : ideas for teaching in elementary and middle school,
QA 39.2 .L390 1993,21331,"Laycock, Mary","Laycock, Mary;Smart, Margaret A",21331,Monograph,Learning Commons,Activity,,,,,64 p. : ill. ; 28 cm.,Rev. ed.,text,Learning Commons,918932963,9.78E+12,918932963,QA 39.2 .L390 1993,,"Hayward, Calif.","c1981,1993",1981,Activity Resources,,Available,Mathematics - Study and teaching (Elementary);Problem solving - Study and teaching (Elementary),Solid sense in mathematics : problem solving level 1,
QA 39.2 .L392 1993,21332,"Laycock, Mary","Laycock, Mary;Smart, Margaret A",21332,Monograph,Learning Commons,Activity,,,,,64 p. : ill. ; 28 cm.,,text,Learning Commons,091893298X,9.78E+12,091893298X,QA 39.2 .L392 1993,,"Hayward, Calif.","c1981, 1993",1981,Activity Resources,,Available,Mathematics - Study and teaching;Problem solving - Study and teaching,Solid sense in mathematics : problem solving level 3,
QA 39.2 .L391 1993,21334,"Laycock, Mary","Laycock, Mary;Smart, Margaret A",21334,Monograph,Learning Commons,Activity,,,,,v.2  : ill. ; 28 cm.,Rev.,text,Learning Commons,0918932971 (v. 2),9.78E+12,918932971,QA 39.2 .L391 1993,,"Hayward, Calif.",1993,1993,Activity Resources,,Available,Mathematics - Study and teaching;Problem solving,Solid sense in mathematics : problem solving level 2,Problem solving
GA 145 .K66 1996,21326,"Koonz, John","Koonz, John",21326,Monograph,Learning Commons,Activity,,,,,"64 p. : ill., maps ; 28 cm.",,text,Learning Commons,,,,GA 145 .K66 1996,,"Austin, Tex.?",c1996,1996,John Koonz,,Available,"Landforms;Relief models - Handbooks, manuals, etc",Geoblox : topographic landform models,"Topographic landform models, Geoblox"
GA 145 .K667 1999,21329,"Koonz, John","Koonz, John",21329,Monograph,Learning Commons,Activity,,,,,"45 p. : ill., maps ; 28 cm.",,text,Learning Commons,,,,GA 145 .K667 1999,,"Austin, Tex.?",c1999,1999,John Koonz,,Available,"Landforms;Relief models - Handbooks, manuals, etc",Geoblox : more topographic landform models,"More topographic landform models, Geoblox"
QE 28.3 .K665 2006,21348,"Koonz, John","Koonz, John",21348,Monograph,Learning Commons,Activity,,,,,69 p. : ill. ; 28 cm.,,text,Learning Commons,,,,QE 28.3 .K665 2006,,"Austin, Tex.",c2006,2006,John Koonz,,Available,Historical geology - Study and teaching - Activity programs;Evolution - Study and teaching - Activity programs;Models and modelmaking;Teaching - Aids and devices,Geoblox : historical geology & evolution block models,Geoblox historical geology and evolution block models;Historical geology & evolution
QA 462 .B66,21347,"Brownlee, Juanita","Brownlee, Juanita",21347,Monograph,Learning Commons,Activity,,,,,63 p. ; 27 cm. ; 4 col. puzzle pieces,,text,Learning Commons,,,,QA 462 .B66 1975,,"Hayward, Calif.",1975,1975,Activity Resources,,Available,Geometry - Study and teaching,Tangram geometry in metric,
